class,mean_len_txts,mean_len_words,1_grama,2_grama,3_grama
"ESPORTS","200","13.0","[('valència', 50590), ('partit', 32610), ('este', 29205), ('sha', 23293), ('real', 19115), ('lliga', 19077)]","[('vila real', 18396), ('este matí', 9277), ('reial madrid', 5818), ('lliga campions', 3148), ('valència basket', 2879), ('selecció espanyola', 2870)]","[('persona cargo esports', 2398), ('vila real cf', 1550), ('jugador vila real', 1334), ('jugador valència cf', 991), ('new persona cargo', 880), ('new subtitulos esports', 622)]"
"ENSENYAMENT","182","12.0","[('alumnes', 1750), ('tall', 1630), ('curs', 1563), ('comunitat', 1421), ('este', 1385), ('deducació', 1336)]","[('comunitat valenciana', 797), ('conselleria deducació', 470), ('col legi', 469), ('este matí', 379), ('conseller deducació', 278), ('persona cargo', 276)]","[('persona cargo informatius', 272), ('alejandro font mora', 173), ('new persona cargo', 110), ('universitat politècnica valència', 109), ('col legi públic', 86), ('cargo informatius new', 82)]"
"POLÍTICA","218","9.833333333333334","[('govern', 17734), ('president', 15470), ('partit', 13896), ('este', 9271), ('sha', 8786), ('popular', 8702)]","[('partit popular', 6703), ('comunitat valenciana', 5052), ('este matí', 3549), ('president generalitat', 3352), ('francesc camps', 2355), ('mariano rajoy', 2166)]","[('persona cargo informatius', 1866), ('new persona cargo', 688), ('luis rodríguez zapatero', 674), ('josé luis rodríguez', 667), ('josé maría aznar', 643), ('generalitat francesc camps', 575)]"
"MITJANS DE COMUNICACIÓ","183","10.25","[('punt', 1278), ('valenciana', 1248), ('televisió', 1247), ('nit', 888), ('programa', 854), ('este', 790)]","[('dà punt', 570), ('persona cargo', 300), ('cargo informatius', 300), ('radiotelevisió valenciana', 287), ('televisió valenciana', 287), ('comunitat valenciana', 285)]","[('persona cargo informatius', 300), ('televisió dà punt', 150), ('dà punt mèdia', 136), ('new persona cargo', 128), ('reuters persona cargo', 112), ('cargo informatius new', 100)]"
"HISTÒRIA","195","8.705882352941176","[('anys', 560), ('tall', 440), ('valència', 403), ('este', 329), ('fa', 251), ('història', 243)]","[('fa anys', 155), ('guerra civil', 113), ('persona cargo', 98), ('cargo informatius', 98), ('new persona', 52), ('comunitat valenciana', 51)]","[('persona cargo informatius', 98), ('new persona cargo', 48), ('cargo informatius new', 34), ('informatius new persona', 30), ('guerra civil espanyola', 21), ('recuperació memòria històrica', 15)]"
"JUSTÍCIA I ORDRE  PÚBLIC","205","12.0","[('anys', 20639), ('policia', 17633), ('este', 14684), ('dun', 10647), ('valència', 9808), ('presó', 9419)]","[('guàrdia civil', 6859), ('este matí', 4138), ('anys presó', 3463), ('policia nacional', 2471), ('comunitat valenciana', 2317), ('policia local', 1899)]","[('persona cargo informatius', 742), ('demana anys presó', 694), ('guàrdia civil detingut', 644), ('tribunal superior justícia', 505), ('passat disposició judicial', 489), ('fiscal demana anys', 414)]"
"MEDI AMBIENT","192","12.0","[('este', 3407), ('tall', 3123), ('ambient', 2746), ('comunitat', 2303), ('medi', 2261), ('valència', 2075)]","[('medi ambient', 2114), ('comunitat valenciana', 1196), ('parc natural', 1044), ('conselleria medi', 699), ('este matí', 580), ('canvi climàtic', 498)]","[('conselleria medi ambient', 695), ('persona cargo informatius', 230), ('parc natural lalbufera', 177), ('ministeri medi ambient', 147), ('parc natural serra', 115), ('new persona cargo', 110)]"
"ECONOMIA, COMERÇ I FINANCES","202","9.666666666666666","[('tall', 5137), ('este', 4350), ('milions', 4203), ('comunitat', 3771), ('lany', 3314), ('valenciana', 3303)]","[('milions deuros', 2621), ('comunitat valenciana', 2283), ('lany passat', 1100), ('este matí', 886), ('unió europea', 592), ('banc despanya', 562)]","[('banc central europeu', 387), ('persona cargo informatius', 306), ('fons monetari internacional', 203), ('linstitut nacional destadística', 184), ('producte interior brut', 179), ('respecte lany passat', 148)]"
"ARTS","192","9.0","[('valència', 2491), ('este', 1127), ('tall', 1098), ('obres', 1077), ('anys', 1056), ('mostra', 991)]","[('col lecció', 293), ('siguen feliços', 291), ('belles arts', 264), ('persona cargo', 188), ('cargo informatius', 188), ('fa anys', 183)]","[('persona cargo informatius', 188), ('museu belles arts', 148), ('esperem siguen feliços', 133), ('belles arts valència', 117), ('valencià dart modern', 79), ('linstitut valencià dart', 76)]"
"ACCIDENTS I CATÀSTROFES","236","13.0","[('este', 9683), ('persones', 9157), ('sha', 8482), ('mort', 7470), ('anys', 7232), ('dun', 5851)]","[('este matí', 2924), ('persones mort', 1382), ('comunitat valenciana', 1374), ('guàrdia civil', 1162), ('perdut vida', 1040), ('víctimes mortals', 845)]","[('persones perdut vida', 478), ('persones resultat ferides', 338), ('litres metre quadrat', 270), ('persona cargo informatius', 264), ('lhospital fe valència', 212), ('guàrdia civil investiga', 194)]"
"ENERGIA","191","9.055555555555555","[('comunitat', 527), ('preu', 480), ('este', 473), ('llum', 431), ('gas', 416), ('tall', 407)]","[('comunitat valenciana', 294), ('milions deuros', 186), ('gas natural', 155), ('este matí', 92), ('instal lacions', 85), ('instal lació', 83)]","[('persona cargo informatius', 42), ('president generalitat francesc', 29), ('generalitat francesc camps', 29), ('invertirà milions deuros', 20), ('línia dalta tensió', 17), ('països exportadors petroli', 16)]"
"FENÒMENS NATURALS","194","12.0","[('neu', 3829), ('comunitat', 3292), ('este', 3235), ('graus', 3197), ('temperatures', 2893), ('vent', 2655)]","[('comunitat valenciana', 1603), ('metre quadrat', 1253), ('litres metre', 1236), ('este matí', 953), ('quilòmetres hora', 926), ('linterior castelló', 514)]","[('litres metre quadrat', 1203), ('shan arreplegat litres', 173), ('arreplegat litres metre', 171), ('vents quilòmetres hora', 154), ('lagència estatal meteorologia', 134), ('hola bona vesprada', 120)]"
"CULTURA","196","8.875","[('valència', 2816), ('este', 1607), ('anys', 1482), ('valencià', 1136), ('tall', 1131), ('museu', 1071)]","[('fa anys', 353), ('comunitat valenciana', 345), ('este matí', 296), ('persona cargo', 236), ('cargo informatius', 236), ('col lecció', 225)]","[('persona cargo informatius', 236), ('museu belles arts', 100), ('new persona cargo', 86), ('ciutat arts ciències', 79), ('consell valencià cultura', 76), ('sant miquel reis', 73)]"
"SOCIETAT","209","9.5","[('este', 8897), ('tall', 8816), ('valència', 7082), ('anys', 6982), ('persones', 5682), ('dia', 4939)]","[('comunitat valenciana', 2646), ('este matí', 1932), ('fa anys', 1146), ('milions deuros', 851), ('persona cargo', 814), ('cargo informatius', 814)]","[('persona cargo informatius', 814), ('new persona cargo', 278), ('conselleria benestar social', 246), ('cargo informatius new', 220), ('rei joan carles', 176), ('informatius new persona', 162)]"
"FESTES I TRADICIONS","204","11.0","[('tall', 6281), ('festa', 6097), ('este', 4808), ('valència', 4678), ('dia', 4523), ('festes', 4077)]","[('mare déu', 1631), ('este matí', 1238), ('moros cristians', 1027), ('comunitat valenciana', 867), ('fa anys', 767), ('plaça lajuntament', 701)]","[('festes moros cristians', 409), ('fallera major valència', 230), ('persona cargo informatius', 224), ('fogueres sant joan', 221), ('plaça mare déu', 210), ('plaça lajuntament valència', 189)]"
"TERRORISME","191","9.333333333333334","[('eta', 2132), ('este', 2044), ('terrorista', 1898), ('policia', 1679), ('deta', 1646), ('persones', 1548)]","[('banda terrorista', 764), ('este matí', 627), ('cotxe bomba', 485), ('país basc', 439), ('laudiència nacional', 430), ('guàrdia civil', 422)]","[('banda terrorista eta', 240), ('ossama bin laden', 68), ('dun cotxe bomba', 63), ('jutge baltasar garzón', 63), ('lassociació víctimes terrorisme', 59), ('josé maría aznar', 58)]"
"CINEMA","249","8.565217391304348","[('pel', 4075), ('lícula', 2675), ('cine', 2373), ('festival', 1279), ('director', 1270), ('este', 1215)]","[('pel lícula', 2665), ('pel lícules', 811), ('festival cine', 313), ('gran pantalla', 265), ('millor pel', 258), ('ciutat llum', 233)]","[('millor pel lícula', 255), ('lúltima pel lícula', 155), ('nova pel lícula', 146), ('ciutat llum dalacant', 83), ('valència cinema mediterrani', 77), ('mostra valència cinema', 75)]"
"TRANSPORTS I COMUNICACIONS","191","9.5","[('valència', 4286), ('este', 3580), ('tall', 2807), ('trànsit', 2580), ('comunitat', 2251), ('sha', 1789)]","[('comunitat valenciana', 1322), ('este matí', 825), ('milions deuros', 586), ('persona cargo', 482), ('cargo informatius', 478), ('port valència', 424)]","[('persona cargo informatius', 478), ('direcció general trànsit', 217), ('new persona cargo', 190), ('cargo informatius new', 124), ('hola bona vesprada', 114), ('loperació especial trànsit', 101)]"
"RELACIONS INTERNACIONALS","182","8.676470588235293","[('president', 1881), ('govern', 1198), ('units', 1053), ('europea', 858), ('nord', 816), ('este', 812)]","[('unió europea', 605), ('regne unit', 353), ('president govern', 272), ('nord americà', 262), ('este matí', 256), ('govern espanyol', 207)]","[('josé maría aznar', 140), ('president nord americà', 116), ('ministre dafers estrangers', 99), ('rei joan carles', 79), ('president govern josé', 69), ('president govern espanyol', 60)]"
"MÚSICA","194","10.0","[('música', 3746), ('valència', 2047), ('anys', 1688), ('ambient', 1630), ('este', 1619), ('tall', 1470)]","[('palau música', 414), ('palau arts', 340), ('comunitat valenciana', 336), ('música valència', 306), ('fa anys', 283), ('festival internacional', 229)]","[('palau música valència', 274), ('persona cargo informatius', 136), ('festival internacional benicàssim', 103), ('plaça bous valència', 64), ('palau arts valència', 61), ('palau arts reina', 55)]"
"ESPECTACLES","197","8.61111111111111","[('teatre', 1671), ('valència', 1500), ('este', 847), ('tall', 833), ('espectacle', 622), ('ambient', 604)]","[('teatre principal', 271), ('palau arts', 160), ('principal valència', 152), ('sagunt escena', 145), ('comunitat valenciana', 134), ('este matí', 132)]","[('teatre principal valència', 143), ('persona cargo informatius', 106), ('teatre olympia valència', 70), ('plaça bous valència', 55), ('teatre principal dalacant', 52), ('teatre rialto valència', 49)]"
"AGRICULTURA, RAMADERIA I PESCA","189","9.428571428571429","[('este', 2866), ('tall', 2712), ('comunitat', 2443), ('valenciana', 2072), ('llauradors', 2046), ('camp', 1915)]","[('comunitat valenciana', 1403), ('conselleria dagricultura', 695), ('milions deuros', 573), ('este matí', 551), ('unió europea', 536), ('lany passat', 463)]","[('persona cargo informatius', 228), ('transvasament tajo segura', 131), ('lassociació valenciana dagricultors', 116), ('maritina hernández consellera', 101), ('hernández consellera dagricultura', 99), ('dagricultura pesca alimentació', 90)]"
"TURISME","197","9.2","[('comunitat', 2714), ('turisme', 2660), ('tall', 2600), ('turistes', 2196), ('este', 2129), ('valenciana', 1863)]","[('comunitat valenciana', 1571), ('lany passat', 455), ('este matí', 380), ('setmana santa', 322), ('sector turístic', 320), ('milions deuros', 238)]","[('persona cargo informatius', 134), ('ciutat arts ciències', 112), ('turisme comunitat valenciana', 92), ('fira internacional turisme', 82), ('respecte lany passat', 65), ('new persona cargo', 62)]"
"INDÚSTRIA","182","9.285714285714286","[('tall', 1062), ('sector', 935), ('este', 897), ('valenciana', 852), ('empreses', 728), ('ford', 710)]","[('comunitat valenciana', 413), ('milions deuros', 398), ('este matí', 174), ('ford almussafes', 173), ('president generalitat', 148), ('llocs treball', 146)]","[('persona cargo informatius', 70), ('factoria ford dalmussafes', 41), ('invertit milions deuros', 31), ('inversió milions deuros', 29), ('planta ford almussafes', 26), ('new persona cargo', 22)]"
"CONFLICTES ARMATS","182","8.916666666666666","[('mort', 1927), ('guerra', 1819), ('nord', 1681), ('este', 1611), ('persones', 1452), ('palestins', 1442)]","[('este matí', 624), ('nord americans', 387), ('nacions unides', 310), ('nord americà', 310), ('pròxim orient', 271), ('saddam hussein', 268)]","[('soldats nord americans', 113), ('tropes nord americanes', 95), ('consell seguretat lonu', 89), ('secretari general lonu', 56), ('persona cargo informatius', 48), ('règim dal assad', 48)]"
"OBRES PÚBLIQUES I INFRAESTRUCTURES","189","9.5","[('obres', 1902), ('valència', 1864), ('este', 1632), ('comunitat', 1075), ('milions', 1042), ('sha', 943)]","[('milions deuros', 663), ('comunitat valenciana', 657), ('este matí', 481), ('president generalitat', 334), ('medi ambient', 275), ('port valència', 240)]","[('transvasament xúquer vinalopó', 94), ('ministeri medi ambient', 84), ('pressupost milions deuros', 83), ('inversió milions deuros', 81), ('generalitat francesc camps', 80), ('president generalitat francesc', 80)]"
"TREBALL","185","9.625","[('treball', 2593), ('treballadors', 1832), ('persones', 1801), ('comunitat', 1770), ('valenciana', 1492), ('este', 1460)]","[('comunitat valenciana', 1212), ('llocs treball', 510), ('este matí', 402), ('seguretat social', 331), ('persona cargo', 260), ('cargo informatius', 260)]","[('persona cargo informatius', 260), ('lenquesta població activa', 127), ('new persona cargo', 76), ('conveni col lectiu', 59), ('dades lenquesta població', 58), ('comunitat valenciana persones', 57)]"
"GASTRONOMIA","193","8.148148148148149","[('tall', 1310), ('cuina', 722), ('este', 694), ('millor', 391), ('valència', 376), ('plats', 356)]","[('quique dacosta', 91), ('comunitat valenciana', 90), ('ricard camarena', 69), ('jornades gastronòmiques', 69), ('este matí', 62), ('estrela michelin', 56)]","[('persona cargo informatius', 40), ('universitat politècnica valència', 20), ('josé san román', 19), ('maría josé san', 13), ('congrés millor gastronomia', 13), ('valència cuina oberta', 12)]"
"RELIGIÓ","185","8.75","[('papa', 1800), ('sant', 1302), ('valència', 1125), ('este', 1059), ('pau', 799), ('santa', 785)]","[('joan pau', 639), ('benet xvi', 538), ('mare déu', 472), ('pau ii', 396), ('setmana santa', 368), ('este matí', 333)]","[('joan pau ii', 393), ('papa joan pau', 216), ('plaça sant pere', 172), ('papa benet xvi', 163), ('trobada mundial famílies', 116), ('mare déu desemparats', 102)]"
"MEDICINA I SANITAT","199","10.0","[('persones', 5328), ('tall', 5266), ('comunitat', 4877), ('este', 4624), ('sanitat', 4494), ('casos', 4477)]","[('comunitat valenciana', 3409), ('conselleria sanitat', 1196), ('este matí', 742), ('ministeri sanitat', 712), ('pel fa', 711), ('lhospital fe', 648)]","[('lorganització mundial salut', 371), ('lhospital fe valència', 355), ('persona cargo informatius', 242), ('coronavirus comunitat valenciana', 198), ('lhospital general valència', 157), ('conselleria sanitat universal', 146)]"
"LITERATURA","198","8.433333333333334","[('premi', 462), ('novel', 397), ('anys', 324), ('llibre', 292), ('tall', 278), ('valència', 255)]","[('novel la', 176), ('miguel hernández', 63), ('premi nacional', 51), ('fa anys', 48), ('premi cervantes', 45), ('fira llibre', 43)]","[('persona cargo informatius', 34), ('isabel clara simó', 34), ('premi nacional lletres', 20), ('fira llibre valència', 20), ('premis literaris ciutat', 17), ('lacadèmia valenciana llengua', 17)]"
"CIÈNCIA I INVESTIGACIÓ","207","9.32","[('este', 1370), ('valència', 1207), ('tall', 1037), ('espacial', 858), ('anys', 778), ('universitat', 775)]","[('lestació espacial', 262), ('universitat politècnica', 252), ('espacial internacional', 223), ('politècnica valència', 214), ('universitat valència', 209), ('comunitat valenciana', 209)]","[('lestació espacial internacional', 210), ('universitat politècnica valència', 197), ('lagència espacial europea', 101), ('persona cargo informatius', 98), ('cèl lules mare', 92), ('fa milions danys', 65)]"
"URBANISME I HABITATGE","191","9.030303030303031","[('valència', 2650), ('vivendes', 1565), ('este', 1498), ('lajuntament', 1410), ('ciutat', 1257), ('tall', 1201)]","[('comunitat valenciana', 492), ('lajuntament valència', 415), ('metres quadrats', 367), ('este matí', 353), ('milions deuros', 258), ('fa anys', 245)]","[('persona cargo informatius', 138), ('vivendes protecció oficial', 84), ('ciutat arts ciències', 59), ('new persona cargo', 54), ('centre històric valència', 47), ('lavinguda blasco ibáñez', 46)]"
"MISCEL·LÀNIA","155","8.0","[('off', 202), ('reuters', 184), ('persona', 162), ('informatius', 155), ('cargo', 152), ('este', 135)]","[('persona cargo', 152), ('cargo informatius', 152), ('off video', 128), ('reuters persona', 72), ('new persona', 66), ('informatius new', 54)]","[('persona cargo informatius', 152), ('reuters persona cargo', 70), ('new persona cargo', 64), ('cargo informatius new', 54), ('informatius new persona', 52), ('banda musica fotos', 20)]"
"DEFENSA","187","8.4375","[('militar', 452), ('militars', 430), ('este', 423), ('soldats', 387), ('defensa', 379), ('lexèrcit', 324)]","[('este matí', 140), ('forces armades', 134), ('ministre defensa', 87), ('ministeri defensa', 83), ('tropes espanyoles', 77), ('guàrdia civil', 67)]","[('dia forces armades', 49), ('rei joan carles', 35), ('base militar bétera', 21), ('defensa federico trillo', 20), ('ministre defensa federico', 19), ('defensa carme chacón', 19)]"
"TAUROMÀQUIA","171","7.886363636363637","[('bous', 147), ('plaça', 109), ('bou', 93), ('tall', 80), ('josé', 53), ('torero', 52)]","[('plaça bous', 45), ('josé tomás', 31), ('porta gran', 22), ('bous carrer', 16), ('comunitat valenciana', 12), ('este matí', 11)]","[('plaça bous valència', 10), ('eixir porta gran', 5), ('vore josé tomás', 5), ('luis francisco esplà', 5), ('miguel ángel perera', 4), ('tribunal superior justícia', 3)]"
"RECURSOS TERRITORIALS","185","8.666666666666666","[('tall', 73), ('valenciana', 52), ('este', 52), ('valència', 50), ('comunitat', 49), ('laigua', 48)]","[('comunitat valenciana', 40), ('persona cargo', 22), ('cargo informatius', 22), ('instal lacions', 14), ('fa anys', 12), ('hectòmetres cúbics', 10)]","[('persona cargo informatius', 22), ('confederació hidrogràfica xúquer', 9), ('tall ester forner', 6), ('transvasament hectòmetres cúbics', 5), ('perill dinundació solsides', 4), ('cargo informatius stefan', 4)]"
"ACTUALITAT ROSA","176","7.551724137931035","[('anys', 109), ('este', 55), ('sha', 48), ('fa', 48), ('parella', 46), ('món', 46)]","[('nova york', 20), ('carla bruni', 16), ('penélope cruz', 15), ('fa anys', 14), ('kate moss', 13), ('pel lícula', 13)]","[('penélope cruz javier', 5), ('cruz javier bardem', 5), ('príncep carles danglaterra', 4), ('revista vanity fair', 4), ('off videoamb off', 3), ('reina isabel ii', 3)]"